row ID,row m/z,row retention time,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,C18_Blank_resusp_GD5_01_19472.mzML Peak area,C18_Blank_resusp_GD5_01_19446.mzML Peak area,C18_Blank_resusp_GD5_01_19487.mzML Peak area,C18_Blank_resusp_GD5_01_19431.mzML Peak area,C18_Blank_resusp_GD5_01_19477.mzML Peak area,C18_Blank_resusp_GD5_01_19417.mzML Peak area,C18_Blank_resusp_GD5_01_19408.mzML Peak area,C18_Blank_resusp_GD5_01_19398.mzML Peak area,C18_Blank_resusp_TEMP_GD5_01_19492.mzML Peak area,C18_Blank_resusp_TEMP_GD5_01_19471.mzML Peak area,C18_Blank_resusp_TEMP_GD5_01_19397.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-1noEx_GA6_01_19490.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-1_GA6_01_19491.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-1_GA6_01_19415.mzML Peak area,C18_F1-1_F2-1_NIST-2_To-1_GA7_01_19474.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-1_GA6_01_19447.mzML Peak area,C18_F1-1_F2-1_GB3_01_19411.mzML Peak area,C18_F1-1_F2-1_NIST-2_To-1_GA7_01_19454.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-2_GB1_01_19441.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-2_GB1_01_19462.mzML Peak area,C18_F1-1_F2-1_GB3_01_19451.mzML Peak area,C18_F1-1_F2-1_NIST-2_To-1_GA7_01_19426.mzML Peak area,C18_F1-1_F2-1_GB3_01_19435.mzML Peak area,C18_F1-1_NIST-3_GD1_01_19482.mzML Peak area,C18_F1-1_NIST-3_GD1_01_19449.mzML Peak area,C18_F1-1_F2-2_NIST-1_To-1_GA8_01_19429.mzML Peak area,C18_F1-1_F2-2_NIST-1_To-1_GA8_01_19489.mzML Peak area,C18_F1-1_NIST-1_GC7_01_19466.mzML Peak area,C18_F1-1_F2-1_NIST-1_To-2_GB1_01_19443.mzML Peak area,C18_F1-1_F2-2_NIST-1_To-1_GA8_01_19414.mzML Peak area,C18_F1-1_NIST-1_GC7_01_19469.mzML Peak area,C18_F1-1_NIST-3_GD1_01_19400.mzML Peak area,C18_F1-1_NIST-1_GC7_01_19464.mzML Peak area,C18_F1-1_To-3_GC6_01_19473.mzML Peak area,C18_F1-2_F2-1_NIST-1_To-1_GB2_01_19484.mzML Peak area,C18_F1-1_To-1_GC4_01_19421.mzML Peak area,C18_F1-1_To-3_GC6_01_19460.mzML Peak area,C18_F1-1_F2-3_GB5_01_19430.mzML Peak area,C18_F1-2_F2-1_NIST-1_To-1_GB2_01_19425.mzML Peak area,C18_F1-1_F2-3_GB5_01_19413.mzML Peak area,C18_F2-1_NIST-1_GD2_01_19467.mzML Peak area,C18_F1-1_F2-3_GB5_01_19406.mzML Peak area,C18_F1-2_F2-1_NIST-1_To-1_GB2_01_19485.mzML Peak area,C18_F1-1_To-3_GC6_01_19420.mzML Peak area,C18_F1-1_To-1_GC4_01_19445.mzML Peak area,C18_F1-3_NIST-1_GC8_01_19458.mzML Peak area,C18_F1-1_To-1_GC4_01_19423.mzML Peak area,C18_F1-3_F2-1_GB4_01_19416.mzML Peak area,C18_F1-3_F2-1_GB4_01_19463.mzML Peak area,C18_F1-3_F2-1_GB4_01_19448.mzML Peak area,C18_F2-1_NIST-1_GD2_01_19428.mzML Peak area,C18_F1-3_NIST-1_GC8_01_19407.mzML Peak area,C18_F2-1_NIST-3_GD4_01_19452.mzML Peak area,C18_F2-1_NIST-1_GD2_01_19476.mzML Peak area,C18_F2-1_NIST-3_GD4_01_19440.mzML Peak area,C18_F2-1_NIST-3_GD4_01_19403.mzML Peak area,C18_F1-3_To-1_GC5_01_19479.mzML Peak area,C18_F2-1_To-3_GB8_01_19401.mzML Peak area,C18_F1-3_To-1_GC5_01_19486.mzML Peak area,C18_F2-1_To-1_GB6_01_19483.mzML Peak area,C18_F2-3_NIST-1_GD3_01_19456.mzML Peak area,C18_F1-3_NIST-1_GC8_01_19424.mzML Peak area,C18_F1_GA1_01_19488.mzML Peak area,C18_F2-3_NIST-1_GD3_01_19480.mzML Peak area,C18_NIST_GA4_01_19419.mzML Peak area,C18_NIST_GA4_01_19461.mzML Peak area,C18_NIST_GA4_01_19439.mzML Peak area,C18_F2-1_To-1_GB6_01_19453.mzML Peak area,C18_F1-3_To-1_GC5_01_19433.mzML Peak area,C18_F2-1_To-1_GB6_01_19438.mzML Peak area,C18_F2-3_To-1_GB7_01_19409.mzML Peak area,C18_F2-1_To-3_GB8_01_19404.mzML Peak area,C18_F2-3_To-1_GB7_01_19457.mzML Peak area,C18_F2-3_NIST-1_GD3_01_19436.mzML Peak area,C18_F2-3_To-1_GB7_01_19434.mzML Peak area,C18_F2_GA2_01_19478.mzML Peak area,C18_F1_GA1_01_19418.mzML Peak area,C18_F2-1_To-3_GB8_01_19422.mzML Peak area,C18_To-1_NIST-1_GC1_01_19481.mzML Peak area,C18_To-1_NIST-1_GC1_01_19402.mzML Peak area,C18_To-1_NIST-3_GC3_01_19459.mzML Peak area,C18_blank_SPE_GA5_01_19470.mzML Peak area,C18_To-1_NIST-3_GC3_01_19450.mzML Peak area,C18_To-1_NIST-3_GC3_01_19468.mzML Peak area,C18_blank_SPE_GA5_01_19399.mzML Peak area,C18_To_GA3_01_19427.mzML Peak area,C18_F1_GA1_01_19410.mzML Peak area,C18_To-1_NIST-1_GC1_01_19442.mzML Peak area,C18_F2_GA2_01_19444.mzML Peak area,C18_To-3_NIST-1_GC2_01_19412.mzML Peak area,C18_blank_SPE_GA5_01_19437.mzML Peak area,C18_To_GA3_01_19475.mzML Peak area,C18_To-3_NIST-1_GC2_01_19455.mzML Peak area,C18_To_GA3_01_19465.mzML Peak area,C18_F2_GA2_01_19405.mzML Peak area,C18_To-3_NIST-1_GC2_01_19432.mzML Peak area,RA2_QCmix_bench_no_exclusion_RA2_01_19396.mzML Peak area,
1,338.3416180503179,13.703668041237115,110,181,[M+NH4]+,,1,71,320.3079,3021114.1949999845,1447170.7229999853,2349562.3829999766,1543017.2369999953,2212176.867000002,1673081.9759999916,975067.1550000001,1820162.2140000109,2633889.6120000156,1182772.9380000064,3742495.0110000256,5510176.904999865,7132052.712000088,6644619.135000031,4525951.047000046,7566512.973000087,9685907.427000131,4118967.096000121,4143531.6960000787,4500834.029999943,1.1897272904999826E7,4451593.172999985,1.2627518168999888E7,3494392.716000009,3043886.4540000474,7532520.005999997,6429797.781000095,3818572.5509999567,4807830.05700005,7858506.060000099,3766600.2930000178,3877550.5259999945,4004697.1770000462,1.0318923749999885E7,3889506.977999954,5685177.726000008,1.0777125908999827E7,3301288.7249999563,3289918.152000041,3687986.673000007,2552206.6020000405,3230045.1630000216,3965491.4729999835,1.1790981420000061E7,5620484.219999952,8675696.945999969,5886874.872000079,7617776.367000034,7419886.047000061,8652853.36800014,2413395.030000006,1.0005328736999871E7,5800178.330999947,3627102.074999948,6196092.0990001075,6952697.757000063,5799938.676000003,8698770.297000043,5773956.566999893,4764948.771000048,1934677.2000000372,9339795.582000004,2767456.0740000503,2623400.301000042,1659779.7059999842,1908460.4610000022,2367943.409999995,4899143.1870000195,6272041.757999914,5653534.203000029,3754162.928999969,1.2516101949000062E7,4312446.2880000025,1993797.8969999885,4624096.721999989,6397790.390999923,2064484.9410000518,1.1703076679999737E7,4085838.1529999697,3417720.882000055,3119141.9699999816,1.025754727499982E7,2731118.805000029,2605434.0060000042,7666870.275000031,2212884.5489999996,2200313.7029999634,3928487.4959999556,6949744.295999976,4721995.698000035,1.1830136936999908E7,4072548.069000093,4987728.12000005,3051801.191999999,7846347.1410000315,5516457.263999949,1.444375545299991E7,
2,278.19070858999424,3.7863044329896893,,,,,,,,799777.5855000013,963822.152699999,812001.8624999993,1042798.1666999974,796228.3760999991,1110314.834999996,1172265.222899996,1255351.7207999986,785003.194500001,741768.7323000012,860421.5433000027,461344.45050000114,622823.1864000026,653515.0947000041,738019.1474999982,786535.8423000027,558757.3146000013,854871.8505000006,669893.5580999979,823525.5897000032,674332.461300001,870557.6159999978,768604.7297999992,657999.5987999961,651661.753500002,919215.4799999986,655170.1515000019,690492.9510000015,869328.2828999995,962853.1563000008,690265.0151999998,915572.6535000043,714427.7229000017,744717.2973,634180.6170000015,854708.2149000023,828105.7775999986,677763.8835000009,618240.9498000001,930326.9283000006,610993.1997000002,848058.9272999988,623779.6451999993,943355.4489000012,852308.4980999955,787297.8201000013,975620.6855999994,641354.6369999979,736697.2308000025,682178.146500002,525040.5549000008,1024647.516299997,708389.2062000028,674341.5060000023,784416.441599997,960740.9045999964,721458.7082999989,542094.3279000025,614218.897500001,648442.3944000009,739126.2542999986,903705.3018000008,692974.8647999964,605930.7270000033,411135.6677999987,664004.0915999996,854786.3685000023,700736.4899999963,904358.7302999996,868796.4008999972,475743.81210000184,1043126.4555000023,710703.2165999993,858209.9996999986,785275.2300000043,626209.7237999995,877866.0218999981,970244.6061000007,735118.3478999961,631549.7618999996,728440.5362999996,786287.8275000005,631942.9895999985,670273.547100003,493534.08630000066,196297.62329999957,987186.6999000006,881005.6602000038,715632.8691000011,729310.3752000016,1069340.3511000022,748738.4604000009,739726.3263000014,653182.3488000012,850501.4957999965,930010.1307000022,1.5051528284400001E7,
3,644.0111767877303,1.5355179381443298,1,,,,,,,20911.698900000625,16192.747199999829,37929.71280000004,88546.40879999989,20248.172999999286,47283.05070000027,21675.85559999925,25799.501999999924,112901.45640000043,209770.91910000012,26364.987599998658,159862.36769999965,63562.30020000019,197293.4321999999,93773.68919999967,173136.0365999996,65240.51039999983,268688.16689999995,133232.21039999963,168721.87289999978,85203.02759999964,185538.14219999948,167712.48180000045,92662.35419999996,48803.484600000105,98583.71519999945,58598.69039999962,31348.03320000029,83295.65760000059,121349.31420000017,32062.89750000005,54838.1166000001,93537.34650000026,117437.65500000044,46109.715000000004,155717.2506000001,60189.729300000196,38412.14400000019,325262.1716999995,50860.65270000024,31399.858800000176,97444.59029999952,94036.01790000041,96195.1818000005,17500.814999999944,58902.96449999968,17809.6968000001,187504.13249999908,49341.831300000806,93946.01879999941,246582.81120000035,83503.68059999953,17696.99099999996,29454.64199999975,192474.00720000043,87493.23150000046,14850.63449999936,23001.02999999994,138743.14739999958,37804.32000000019,98275.2003000009,17492.189099999818,29745.971100000046,127968.0350999998,175979.66460000043,135263.6394000001,21381.245999999952,142200.92129999996,111242.58150000035,144943.19850000023,215986.2926999996,193206.2150999998,91664.19180000018,72071.67809999998,253790.25719999947,137150.88630000045,60291.34590000047,63162.30179999946,186971.7203999999,239930.63850000093,54611.35229999984,37611.8297999999,54964.629599999585,50854.68359999987,49440.22709999968,43523.167199999516,85504.59899999987,220832.31330000013,283456.1772000006,209126.8421999997,21345.98759999943,326794.9983000002,46407.446099999856,98587.57829999985,141887.11019999973,95246.40930000067,157298.12099999978,
4,644.0112091616352,1.6401050515463915,,,,,,,,42476.8985999999,25655.09760000038,38396.9993999997,62529.51299999864,20192.503499999948,24275.420399999144,23127.881999999947,51348.745499999866,19876.542000000754,56483.754599999695,25665.54899999949,56241.8238000003,112507.36020000056,334925.4779999998,174644.37179999962,224580.78990000015,18735.85349999995,51305.476799999975,17601.544800000807,33561.889200000194,296502.88439999986,67098.35999999978,30541.447199999944,17327.511600000234,17396.875199999376,198445.1499000001,131590.8855,57890.45970000043,64658.87639999949,64808.832000000446,38264.989199999945,58001.61659999979,15704.035800000342,158898.24060000046,58900.92270000065,129906.33420000039,61342.195199999915,25969.12019999964,57139.06409999986,362318.08079999965,53173.72980000028,57888.05339999961,25454.851800000255,437427.1113000003,173538.82949999982,65360.7852000001,141520.0863000005,17891.522999999954,97764.51420000012,139308.04680000007,20437.802999999778,43558.28999999951,30245.140799999157,32989.74419999962,66221.18730000005,240429.3387000005,25172.17200000037,252827.8472999999,34654.54679999927,14585.610600000078,159465.19769999993,17257.668000000653,28305.54179999968,14521.396499999963,39580.48800000058,48527.73000000025,35828.66280000036,47006.91239999951,57316.02840000051,178565.58449999956,205558.8872999997,148146.18030000012,57085.38239999956,37642.00350000055,385836.1436999999,178012.92359999966,76499.53799999958,130648.30770000018,28957.126800000155,144218.33070000014,90483.7527000003,18937.8222000001,168585.17850000007,85922.25809999934,25153.41960000075,72519.82019999942,36186.64439999977,125134.90829999988,212569.22159999982,38732.66039999985,21911.5362000003,62113.580999999904,207027.20519999985,15973.37280000009,38219.87519999969,147843.82050000026,194996.47859999965,
5,644.0111922075235,1.7761615463917524,,,,,,,,20836.711500000114,68139.05549999981,19347.77519999979,22996.091400000503,41225.0142000004,105848.62770000019,45444.88350000007,25190.56980000012,19352.10599999994,38090.85239999975,273967.77119999967,194778.37049999996,87701.90040000009,165845.54459999944,237971.20829999988,178120.04429999998,98572.77810000004,162285.2901,57671.41799999963,215869.77120000016,305509.34130000015,54833.29319999985,124748.64360000014,133402.64070000022,64880.88089999971,255544.6236000001,88919.68920000002,201402.0567000003,40791.301199999674,157219.59030000048,113035.15829999979,76336.56959999964,316329.7145999996,164529.69659999994,139964.75609999994,407514.4781999997,286175.0844,436226.69550000003,177955.26359999983,100691.20800000016,29828.431200000166,314374.70849999983,80382.1968000001,274050.5073000001,82407.40590000036,353334.0225000002,335871.8727000001,375406.2660000002,176776.34099999987,130651.95779999965,61723.125,154002.97050000023,17289.669600000794,214186.19070000006,238201.60260000022,175028.33699999968,275422.2675000003,616116.0599999998,127074.00959999979,29719.545000000282,116466.45809999976,209982.61199999996,48695.50619999999,199346.57280000034,22872.372600000122,19521.566999999948,20661.523200000272,213203.07629999978,237190.8296999997,1112109.2888999998,19341.758699999646,32207.24249999973,372623.9744999997,259981.56059999976,88909.07039999985,284761.67519999994,326786.0735999999,29626.58789999962,79671.96630000017,46667.07959999968,50248.66289999953,50782.636800000575,89299.68989999914,33718.33769999991,25141.287599999705,22401.152699999766,428405.34720000013,37437.33689999989,324724.93260000006,479557.9440000004,37445.22000000055,66129.61679999983,27553.481999999745,15125.00220000008,342895.2186000002,36115.28309999973,79046.7206999994,
6,644.0111616789012,1.190103608247423,,,,,,,,20674.642499999933,71443.13100000028,57585.801900000275,23546.577599999186,20541.748499999114,48257.10059999989,145802.23170000032,26113.19760000015,60113.36220000049,70989.23250000007,27002.587199999503,68470.88970000065,125880.94259999982,124466.20769999936,16104.40649999996,211942.0307999998,259822.9422000002,28420.77419999951,37699.35480000006,213035.43059999985,199205.4774000002,123383.99070000023,196802.8346999999,159232.8989999997,134347.11329999965,81137.59199999974,94448.30429999955,27544.487100000148,58956.76980000005,28832.922300000293,32217.264900000577,164573.08590000094,63520.48830000048,15427.235999999708,57604.54799999957,244140.3035999993,31251.58560000042,181479.32250000013,95827.92659999992,175238.4279000004,14975.791200000445,110658.09990000013,35648.835600000064,17922.48899999996,134634.0168000004,27491.650200000022,255787.69559999998,89454.16979999986,38298.8759999997,37895.81190000042,82750.01700000075,43034.15610000036,100836.24869999968,28261.965000000153,32231.98439999957,51736.92450000026,39585.77159999986,143732.57129999984,14526.007200000315,172304.61659999957,173210.97300000014,17657.87399999996,28785.29849999993,157163.02079999977,46895.460900000435,19726.693799999473,63274.85520000018,103770.59640000027,143211.5304000001,179319.18749999994,159042.81180000037,30445.13700000044,221258.03309999994,167346.7370999996,251263.2083999995,114367.33469999941,78050.27639999997,43098.57000000022,17038.758000000093,46493.97720000082,93543.2675999999,36466.707000000635,70048.67399999959,29434.446000000433,68003.34810000038,166181.75789999895,17295.379800000235,70888.2927000004,200942.38109999936,252658.4279999996,41197.436699999686,16433.387999999963,87468.50820000048,15147.405000000574,150414.10890000054,18755.33399999995,222569.40390000006,
7,282.27929077311694,10.563152577319592,78,,,,,,,245190.24899999844,41463.32100000022,271790.6519999986,47637.113999999696,284048.33699999977,46127.177999999236,32671.95900000002,49521.97200000026,279394.4369999988,3208.479000000379,111826.15200000026,278008.0170000018,292094.9580000071,143649.74700000044,293327.6340000031,156685.28700000138,156902.13300000344,164296.0709999989,120090.52500000053,126358.3830000033,201108.51000000027,193772.89500000043,223310.00099999894,349870.1069999986,204316.99799999822,171771.43200000387,305810.69999999757,184152.413999999,152858.76000000053,182995.13700000063,194707.7369999993,258957.6990000034,200172.29099999875,258819.60899999776,319563.720000002,167959.79699999894,105286.71900000253,184748.1060000007,161950.71599999946,186499.94099999932,123964.998000003,169462.05000000435,323777.1959999974,130768.63199999795,181151.00700000135,267901.78799999907,193636.50900000118,200661.53400000161,193483.17300000205,227183.34899999804,121546.32900000186,311541.8460000051,167720.5919999992,280650.49199999555,187226.38199999713,206554.04099999648,307133.5889999992,63975.71399999852,341072.1059999999,252259.466999996,132036.07200000098,306842.8049999985,331501.4310000029,278260.3469999969,120160.85100000088,182150.04299999902,210351.6329999974,84099.11700000073,247204.98000000088,96499.79399999959,84671.36100000043,81269.52599999942,97015.78500000031,147216.73200000005,112843.51199999955,265387.6260000004,314960.0399999948,81441.36000000052,283944.7680000009,95016.21599999927,145398.69000000143,32501.501999999913,111674.45699999914,113775.34499999943,52315.196999999884,40711.310999999456,332321.68799999903,116628.6150000007,132834.1710000017,79603.8539999992,47719.856999999785,196438.38600000012,73139.4840000008,42241.86600000001,154122.64500000208,91548.8610000003,102510.43200000102,
8,644.0111860441058,1.0249110618556703,,,,,,,,36844.34249999969,34084.034100000084,38495.78579999966,84647.57549999906,19988.437499999523,24083.69871000015,72167.33442000003,52503.92936999988,40279.6655999995,93401.0196599997,52725.26457000016,272650.66184999974,72416.95653000007,310699.3872000004,151945.89330000023,179905.51229999986,309681.4990500001,78019.7456400001,57929.047649999826,288418.76460000017,159029.16840000008,109173.37800000022,254442.4151999999,133226.85959999997,101024.59829999972,148553.32499999995,249819.50006999986,56498.14499999996,242540.84910000014,270237.8593200002,69499.68011999977,69315.38370000031,109383.37619999972,224316.21524999966,72447.4116000001,270641.6583899998,229049.35956000007,285929.2558499998,366690.3432,276230.8382999998,126785.24459999963,259471.65479999973,181317.68190000003,336172.9163400004,254309.9049300002,150760.6070999999,271155.74309999973,166186.59543000013,176570.3945999999,114721.9989,301456.02684000006,69522.98339999985,229137.07680000004,167423.63915999985,150174.0402000002,77021.54999999992,229399.08041999993,296551.0860600001,176840.7456,153634.7641500001,381055.0481999998,332798.44913999987,23907.33990000003,242103.26129999995,119737.85879999997,19291.24758000012,85471.55489999999,174481.79729999998,48559.117800000124,176448.61554000012,164611.63644,233609.41071000003,228493.81140000038,168989.10689999987,161329.74575999996,174368.25300000014,152673.7070999995,176302.10169000004,236107.9148999999,98567.78519999955,170775.8991000001,68369.73510000015,82832.92620000035,197476.64004000014,50507.27975999936,121384.60244999989,192827.6003999998,207632.14022999984,95801.67299999995,273692.7793199999,20974.96499999993,80010.64745999986,67663.76243999982,151024.2020699999,139406.46900000013,100590.34296000017,125508.16376999996,
9,644.0112270771718,2.069712783505155,,,,,,,,42658.700399999194,16816.311000000638,58140.008100000756,45502.99740000098,20478.452400000115,23820.677999999738,23221.91399999957,44814.3120000017,76952.2925999996,19068.14700000026,71411.96909999946,83287.33289999946,274286.53499999986,226993.23630000016,144804.4853999996,172193.73150000063,774151.7901000002,275856.39330000005,130520.0088000006,87611.53079999998,131952.23310000042,290033.38710000034,302214.1206,47692.54200000004,134785.23270000028,313179.8700000001,204108.80549999996,107139.33210000001,150470.02860000017,378563.04990000057,273854.39730000024,247155.2487,128430.34650000016,229617.61920000016,140790.50609999982,162651.17489999975,261539.2119000004,148793.87400000042,327561.94019999955,390649.0112999998,396618.5096999998,144949.93560000008,215222.20409999983,441732.05940000026,239341.63109999977,577047.8684999997,148325.7606000001,771632.2082999995,249079.32330000022,117410.38920000033,215196.04619999934,125550.23580000075,160266.5573999997,264376.01460000046,649420.9694999999,226861.74480000036,200883.67769999977,38063.360699999495,105038.69999999959,399482.8413000004,392942.0837999998,121091.01300000027,43685.39159999951,214557.51930000016,46311.61649999904,89846.71110000007,280550.9394000001,329711.5310999995,182993.2754999996,371616.28949999984,316568.76809999987,496290.43080000085,294201.2132999997,232742.93340000018,282559.50480000046,286950.3834000004,177642.78960000005,261633.13649999953,136943.9570999999,23871.104999999945,122447.0015999995,18459.20159999936,123471.24690000032,334114.71509999956,25628.92140000056,128458.14179999914,151745.43780000048,567557.536800001,491762.5571999998,59114.574599999105,21378.604800000463,196172.3664000006,421421.8946999999,175032.10679999995,96750.32399999941,242684.0088000006,72455.14199999975,
10,663.4533216148951,15.672503092783503,119,186,[M+H]+,,2,13;1974,662.4464,422483.02799999906,1121501.828999997,835500.4649999965,1248827.7419999975,727668.176999997,1038402.5130000031,1027638.4469999997,639599.5230000034,725707.5929999981,575202.4679999994,1125393.776999995,713284.6980000004,532377.041999998,1064502.492000004,688993.0260000023,404334.0540000014,1125573.9210000045,917993.2770000005,851094.1500000025,658750.4369999984,619860.684000002,843106.7639999992,994924.7400000065,596031.8729999993,1065221.729999995,661028.4120000037,760911.345000001,729007.6500000004,827114.505000002,1091926.5659999975,642354.4289999959,491973.41100000055,916578.5880000017,280071.13199999795,673455.4350000058,958110.6599999984,703849.6529999989,1032289.7700000113,1084706.9699999942,684281.0549999999,856864.9830000001,1043346.7559999964,651380.4810000006,491082.9450000017,1016539.9469999927,842954.1000000056,839055.1890000043,780446.3730000034,806394.5969999941,854384.8649999986,469125.8880000006,973672.3649999986,1063920.930000001,643910.8619999993,30999.227999999875,692702.607000001,721887.6539999992,955525.9559999995,616871.4240000048,597085.7969999966,777742.739999996,1019980.8270000077,203973.29699999848,827716.2749999991,1259885.4780000038,940598.5529999997,1180025.9189999998,744732.1319999979,818835.7199999943,666291.9419999997,468931.6469999984,878280.6930000064,913799.1390000082,1229823.9030000048,1140071.3850000105,207764.71799999857,335366.93399999884,994823.2229999965,725548.7940000015,716037.5970000022,1016917.109999998,923642.7240000009,853075.1579999982,850930.2270000051,484027.29000000074,971169.834000002,687964.6380000054,885230.2259999987,1036966.9170000078,836324.4240000045,1101375.7469999962,645550.3050000033,836015.1720000025,817188.6959999999,947614.6859999998,424576.479000001,454086.2309999982,
