sample_id	sample_type	sample_substance_name	organism_kingdom	organism_phylum	organism_class	organism_order	organism_family	organism_genus	organism_species	organism_organe	organism_broad_organe	organism_tissue	organism_subsystem	sample_plate_id	ms_filename	ms_injection_date	tcruzi_activity_class
VGF138_A02	sample	V111819GP-01	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Paeoniaceae	Paeonia	Paeonia suffruticosa	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_A02.mzXML	27/10/2017	Inactive
VGF138_A03	sample	V111988GP-01	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Scrophulariaceae	Buddleja	Buddleja officinalis	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_A03.mzXML	27/10/2017	Inactive
VGF138_A04	sample	V112020GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Ficus	Ficus tikoua	multiple	multiple	multiple	aboveground	VGF138	VGF138_A04.mzXML	27/10/2017	Inactive
VGF138_A05	sample	V112033GP-01	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Nicandra	Nicandra physalodes	fruits	reproductive	green tissue	aboveground	VGF138	VGF138_A05.mzXML	27/10/2017	Inactive
VGF138_A06	sample	V112042GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Polygalaceae	Asemeia	Asemeia extraaxillaris	roots	roots	root tissue	belowground	VGF138	VGF138_A06.mzXML	27/10/2017	Inactive
VGF138_A07	sample	V112053GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Sophora	Sophora davidii	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_A07.mzXML	27/10/2017	Inactive
VGF138_A08	sample	V112063GP-01	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Adoxaceae	Viburnum	Viburnum foetidum	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_A08.mzXML	27/10/2017	Inactive
VGF138_A09	sample	V112076GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Breynia	Breynia fruticosa	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_A09.mzXML	27/10/2017	Inactive
VGF138_A10	sample	V112090GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Codariocalyx	Codariocalyx gyroides	woody stems	woody vegetative	woody tissue	aboveground	VGF138	VGF138_A10.mzXML	27/10/2017	Inactive
VGF138_A11	sample	V112104GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Ischaemum	Ischaemum ciliare	multiple	multiple	multiple		VGF138	VGF138_A11.mzXML	27/10/2017	Inactive
VGF138_B02	sample	V111820GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Stranvaesia	Stranvaesia davidiana	roots	roots	root tissue	belowground	VGF138	VGF138_B02.mzXML	27/10/2017	Inactive
VGF138_B03	sample	V111991GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Caesalpinia	Caesalpinia enneaphylla	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_B03.mzXML	27/10/2017	Inactive
VGF138_B04	sample	V112021GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana pubigera	multiple	multiple	multiple		VGF138	VGF138_B04.mzXML	27/10/2017	Inactive
VGF138_B05	sample	V112035GP-01	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae	Oxyspora	Oxyspora paniculata	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_B05.mzXML	27/10/2017	Inactive
VGF138_B06	sample	V112044GP-01	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Persicaria	Persicaria orientalis	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_B06.mzXML	27/10/2017	Inactive
VGF138_B07	sample	V112055GP-01	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Thalictrum	Thalictrum foliolosum	multiple	multiple	multiple		VGF138	VGF138_B07.mzXML	27/10/2017	Inactive
VGF138_B08	sample	V112064GP-01	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Adoxaceae	Viburnum	Viburnum foetidum	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_B08.mzXML	27/10/2017	Inactive
VGF138_B09	sample	V112078GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Breynia	Breynia fruticosa	roots	roots	root tissue	belowground	VGF138	VGF138_B09.mzXML	27/10/2017	Inactive
VGF138_B10	sample	V112091GP-01	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Hamamelidaceae	Corylopsis	Corylopsis multitorum	woody stems	woody vegetative	woody tissue	aboveground	VGF138	VGF138_B10.mzXML	27/10/2017	Inactive
VGF138_B11	sample	V112108GP-01	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Lithocarpus	Lithocarpus litseifolius	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_B11.mzXML	27/10/2017	Inactive
VGF138_C02	sample	V111823GP-01	Plantae	Tracheophyta	Magnoliopsida	Proteales	Sabiaceae	Sabia	Sabia schumanniana	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_C02.mzXML	27/10/2017	Inactive
VGF138_C03	sample	V111998GP-01	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Clerodendrum	Clerodendrum yunnanense	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_C03.mzXML	27/10/2017	Inactive
VGF138_C04	sample	V112022GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Geum	Geum japonicum	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_C04.mzXML	27/10/2017	Inactive
VGF138_C05	sample	V112036GP-01	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Orobanchaceae	Pedicularis	Pedicularis henryi	multiple	multiple	multiple	aboveground	VGF138	VGF138_C05.mzXML	27/10/2017	Inactive
VGF138_C06	sample	V112045GP-01	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Persicaria	Persicaria orientalis	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_C06.mzXML	27/10/2017	Inactive
VGF138_C07	sample	V112057GP-01	Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Trichosanthes	Trichosanthes ovigera	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_C07.mzXML	27/10/2017	Inactive
VGF138_C08	sample	V112065GP-01	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Adoxaceae	Viburnum	Viburnum foetidum	fruits	reproductive	green tissue	aboveground	VGF138	VGF138_C08.mzXML	27/10/2017	Inactive
VGF138_C09	sample	V112079GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Byttneria	Byttneria aspera	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_C09.mzXML	27/10/2017	Inactive
VGF138_C10	sample	V112092GP-01	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Hamamelidaceae	Corylopsis	Corylopsis multitorum	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_C10.mzXML	27/10/2017	Inactive
VGF138_C11	sample	V112109GP-01	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Lithocarpus	Lithocarpus litseifolius	woody stems	woody vegetative	woody tissue	aboveground	VGF138	VGF138_C11.mzXML	27/10/2017	Inactive
VGF138_D02	sample	V111982GP-01	Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae	Arisaema	Arisaema amurense	multiple	multiple	multiple	aboveground	VGF138	VGF138_D02.mzXML	27/10/2017	Inactive
VGF138_D03	sample	V112009GP-01	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Dichrocephala	Dichrocephala benthamii	multiple	multiple	multiple	aboveground	VGF138	VGF138_D03.mzXML	27/10/2017	Inactive
VGF138_D04	sample	V112023GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Hypericaceae	Hypericum	Hypericum patulum	roots	roots	root tissue	belowground	VGF138	VGF138_D04.mzXML	27/10/2017	Inactive
