sample_id,sample_type,organism_species,organism_family,organism_genus,species_organe,species_selected,species_organe_selected
VGF138_A02,sample,Paeonia suffruticosa,Paeoniaceae,Paeonia,Paeonia suffruticosa leaves,Other,Other
VGF138_A03,sample,Buddleja officinalis,Scrophulariaceae,Buddleja,Buddleja officinalis leaves,Other,Other
VGF138_A04,sample,Ficus tikoua,Moraceae,Ficus,Ficus tikoua multiple,Other,Other
VGF138_A05,sample,Nicandra physalodes,Solanaceae,Nicandra,Nicandra physalodes fruits,Other,Other
VGF138_A06,sample,Asemeia extraaxillaris,Polygalaceae,Asemeia,Asemeia extraaxillaris roots,Other,Other
VGF138_A07,sample,Sophora davidii,Fabaceae,Sophora,Sophora davidii green stems,Other,Other
VGF138_A08,sample,Viburnum foetidum,Adoxaceae,Viburnum,Viburnum foetidum leaves,Other,Other
VGF138_A09,sample,Breynia fruticosa,Phyllanthaceae,Breynia,Breynia fruticosa leaves,Other,Other
VGF138_A10,sample,Codariocalyx gyroides,Fabaceae,Codariocalyx,Codariocalyx gyroides woody stems,Other,Other
VGF138_A11,sample,Ischaemum ciliare,Poaceae,Ischaemum,Ischaemum ciliare multiple,Other,Other
VGF138_B02,sample,Stranvaesia davidiana,Rosaceae,Stranvaesia,Stranvaesia davidiana roots,Other,Other
VGF138_B03,sample,Caesalpinia enneaphylla,Fabaceae,Caesalpinia,Caesalpinia enneaphylla leaves,Other,Other
VGF138_B04,sample,Gentiana pubigera,Gentianaceae,Gentiana,Gentiana pubigera multiple,Other,Other
VGF138_B05,sample,Oxyspora paniculata,Melastomataceae,Oxyspora,Oxyspora paniculata green stems,Other,Other
VGF138_B06,sample,Persicaria orientalis,Polygonaceae,Persicaria,Persicaria orientalis green stems,Other,Other
VGF138_B07,sample,Thalictrum foliolosum,Ranunculaceae,Thalictrum,Thalictrum foliolosum multiple,Other,Other
VGF138_B08,sample,Viburnum foetidum,Adoxaceae,Viburnum,Viburnum foetidum green stems,Other,Other
VGF138_B09,sample,Breynia fruticosa,Phyllanthaceae,Breynia,Breynia fruticosa roots,Other,Other
VGF138_B10,sample,Corylopsis multitorum,Hamamelidaceae,Corylopsis,Corylopsis multitorum woody stems,Other,Other
VGF138_B11,sample,Lithocarpus litseifolius,Fagaceae,Lithocarpus,Lithocarpus litseifolius leaves,Other,Other
VGF138_C02,sample,Sabia schumanniana,Sabiaceae,Sabia,Sabia schumanniana green stems,Other,Other
VGF138_C03,sample,Clerodendrum yunnanense,Lamiaceae,Clerodendrum,Clerodendrum yunnanense green stems,Other,Other
VGF138_C04,sample,Geum japonicum,Rosaceae,Geum,Geum japonicum leaves,Other,Other
VGF138_C05,sample,Pedicularis henryi,Orobanchaceae,Pedicularis,Pedicularis henryi multiple,Other,Other
VGF138_C06,sample,Persicaria orientalis,Polygonaceae,Persicaria,Persicaria orientalis leaves,Other,Other
VGF138_C07,sample,Trichosanthes ovigera,Cucurbitaceae,Trichosanthes,Trichosanthes ovigera green stems,Other,Other
VGF138_C08,sample,Viburnum foetidum,Adoxaceae,Viburnum,Viburnum foetidum fruits,Other,Other
VGF138_C09,sample,Byttneria aspera,Malvaceae,Byttneria,Byttneria aspera green stems,Other,Other
VGF138_C10,sample,Corylopsis multitorum,Hamamelidaceae,Corylopsis,Corylopsis multitorum leaves,Other,Other
VGF138_C11,sample,Lithocarpus litseifolius,Fagaceae,Lithocarpus,Lithocarpus litseifolius woody stems,Other,Other
VGF138_D02,sample,Arisaema amurense,Araceae,Arisaema,Arisaema amurense multiple,Other,Other
VGF138_D03,sample,Dichrocephala benthamii,Asteraceae,Dichrocephala,Dichrocephala benthamii multiple,Other,Other
VGF138_D04,sample,Hypericum patulum,Hypericaceae,Hypericum,Hypericum patulum roots,Other,Other
VGF138_D05,sample,Peracarpa carnosa,Campanulaceae,Peracarpa,Peracarpa carnosa multiple,Other,Other
VGF138_D06,sample,Rumex nepalensis,Polygonaceae,Rumex,Rumex nepalensis green stems,Other,Other
VGF138_D07,sample,Trichosanthes ovigera,Cucurbitaceae,Trichosanthes,Trichosanthes ovigera leaves,Other,Other
